filepath,team_name,team
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/49fe842f-b0b8-41a8-9751-1bc2890751b6.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/8b32e05f-8a8d-466b-9bae-8e26dc40bdbd.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/92c2429b-fe8e-47ec-842f-faf066bb39c2.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/65a9df92-fb63-4eb5-aad2-e75550b2c9df.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/37c62386-1d69-4e37-ab57-2bb9000e3409.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/75fac060-4a9b-4b42-82be-2d2edf9b96a2.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/4a3ddf95-0eeb-42dc-9e52-3a555154c206.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/75dcb1ef-5308-4e77-91ad-77ceca24db13.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/74c419e0-1a06-4b0e-87e5-5add6c29b195.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/3a12e17a-3de3-4bae-9160-50ecba2f2cf6.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/a4750bfc-37c4-4446-be33-c6d4d29f3147.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/187a7b04-6ca1-469c-a271-7a5328d30343.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/80939bc6-693f-4e60-9d07-d96384710b10.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/9bae9752-3278-42c9-b581-2c3913f9e1c0.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/350edfdd-f24b-41ef-a7a0-5502b5c7daad.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/af2dc8a7-854f-4e45-b6e3-9d47a310a948.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/c0ba3f4f-9c4d-4141-90c1-c11c51a65d30.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/22fdf35e-b047-4b35-a13c-11bc2d5f906b.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/1b2b6f13-207b-4330-91ed-b7f918d3e96d.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/3c30b1fe-244e-416c-afb5-e1230d8ed003.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/8847b5da-09f2-4abd-93aa-cf36b60018d7.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/3e1a4c55-e62d-419e-9f38-c62591bd15e7.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/0326514a-f27f-4124-93bc-41235bdd39c4.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/268954db-1739-44c5-ac45-68d9ad044822.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/20020422-dd0a-444d-86af-1c3dcc46781e.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/40ac9f4b-ae07-4186-8d70-815b6840c79c.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/701818ad-10bc-4de9-8cb3-f1bf33c92950.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/dc69e579-6140-41d4-991c-3ef68cf8b007.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/abd03984-0224-4506-bada-b776e0829979.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/a5941683-d711-4d6a-b070-3f1b91aa54f5.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/837724ee-cf7b-4ac8-9921-f1aa22a334fe.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/9b1609d7-c693-404f-820c-48ac963f463e.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/244248e5-3fe3-4039-a3c6-5a5de3314886.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/fb20fe75-945a-4da3-9b14-40adffb118fa.png,manchester-united,12
../input/english-premier-league-logo-detection-20k-images/epl-logos-big/manchester-united/22902ef1-9e5e-4fd7-9c6a-e5df2e18f144.png,manchester-united,12
